Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,48,0.1,0.1,250,30,25,10,100,200,5,classical
10,63,0.1,0.1,250,30,25,10,100,200,5,classical
15,59,0.1,0.1,250,30,25,10,100,200,5,classical
20,56,0.1,0.1,250,30,25,10,100,200,5,classical
25,77,0.1,0.1,250,30,25,10,100,200,5,classical
30,86,0.1,0.1,250,30,25,10,100,200,5,classical
35,95,0.1,0.1,250,30,25,10,100,200,5,classical
40,111,0.1,0.1,250,30,25,10,100,200,5,classical
45,136,0.1,0.1,250,30,25,10,100,200,5,classical
50,126,0.1,0.1,250,30,25,10,100,200,5,classical
55,135,0.1,0.1,250,30,25,10,100,200,5,classical
60,139,0.1,0.1,250,30,25,10,100,200,5,classical
65,132,0.1,0.1,250,30,25,10,100,200,5,classical
70,141,0.1,0.1,250,30,25,10,100,200,5,classical
75,145,0.1,0.1,250,30,25,10,100,200,5,classical
80,132,0.1,0.1,250,30,25,10,100,200,5,classical
85,134,0.1,0.1,250,30,25,10,100,200,5,classical
90,124,0.1,0.1,250,30,25,10,100,200,5,classical
95,115,0.1,0.1,250,30,25,10,100,200,5,classical
100,123,0.1,0.1,250,30,25,10,100,200,5,classical
105,119,0.1,0.1,250,30,25,10,100,200,5,classical
110,126,0.1,0.1,250,30,25,10,100,200,5,classical
115,128,0.1,0.1,250,30,25,10,100,200,5,classical
120,125,0.1,0.1,250,30,25,10,100,200,5,classical
125,129,0.1,0.1,250,30,25,10,100,200,5,classical
130,135,0.1,0.1,250,30,25,10,100,200,5,classical
135,145,0.1,0.1,250,30,25,10,100,200,5,classical
140,136,0.1,0.1,250,30,25,10,100,200,5,classical
145,129,0.1,0.1,250,30,25,10,100,200,5,classical
150,119,0.1,0.1,250,30,25,10,100,200,5,classical
155,132,0.1,0.1,250,30,25,10,100,200,5,classical
160,116,0.1,0.1,250,30,25,10,100,200,5,classical
165,128,0.1,0.1,250,30,25,10,100,200,5,classical
170,135,0.1,0.1,250,30,25,10,100,200,5,classical
175,133,0.1,0.1,250,30,25,10,100,200,5,classical
180,135,0.1,0.1,250,30,25,10,100,200,5,classical
185,138,0.1,0.1,250,30,25,10,100,200,5,classical
190,127,0.1,0.1,250,30,25,10,100,200,5,classical
195,135,0.1,0.1,250,30,25,10,100,200,5,classical
200,133,0.1,0.1,250,30,25,10,100,200,5,classical
