Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,134,0.2,0.1,480,30,48,10,400,400,5,classical
10,287,0.2,0.1,480,30,48,10,400,400,5,classical
15,357,0.2,0.1,480,30,48,10,400,400,5,classical
20,365,0.2,0.1,480,30,48,10,400,400,5,classical
25,367,0.2,0.1,480,30,48,10,400,400,5,classical
30,378,0.2,0.1,480,30,48,10,400,400,5,classical
35,393,0.2,0.1,480,30,48,10,400,400,5,classical
40,385,0.2,0.1,480,30,48,10,400,400,5,classical
45,383,0.2,0.1,480,30,48,10,400,400,5,classical
50,353,0.2,0.1,480,30,48,10,400,400,5,classical
55,367,0.2,0.1,480,30,48,10,400,400,5,classical
60,386,0.2,0.1,480,30,48,10,400,400,5,classical
65,387,0.2,0.1,480,30,48,10,400,400,5,classical
70,380,0.2,0.1,480,30,48,10,400,400,5,classical
75,382,0.2,0.1,480,30,48,10,400,400,5,classical
80,403,0.2,0.1,480,30,48,10,400,400,5,classical
85,382,0.2,0.1,480,30,48,10,400,400,5,classical
90,384,0.2,0.1,480,30,48,10,400,400,5,classical
95,378,0.2,0.1,480,30,48,10,400,400,5,classical
100,372,0.2,0.1,480,30,48,10,400,400,5,classical
105,368,0.2,0.1,480,30,48,10,400,400,5,classical
110,392,0.2,0.1,480,30,48,10,400,400,5,classical
115,395,0.2,0.1,480,30,48,10,400,400,5,classical
120,389,0.2,0.1,480,30,48,10,400,400,5,classical
125,370,0.2,0.1,480,30,48,10,400,400,5,classical
130,378,0.2,0.1,480,30,48,10,400,400,5,classical
135,395,0.2,0.1,480,30,48,10,400,400,5,classical
140,376,0.2,0.1,480,30,48,10,400,400,5,classical
145,365,0.2,0.1,480,30,48,10,400,400,5,classical
150,380,0.2,0.1,480,30,48,10,400,400,5,classical
155,368,0.2,0.1,480,30,48,10,400,400,5,classical
160,379,0.2,0.1,480,30,48,10,400,400,5,classical
165,375,0.2,0.1,480,30,48,10,400,400,5,classical
170,379,0.2,0.1,480,30,48,10,400,400,5,classical
175,382,0.2,0.1,480,30,48,10,400,400,5,classical
180,379,0.2,0.1,480,30,48,10,400,400,5,classical
185,391,0.2,0.1,480,30,48,10,400,400,5,classical
190,377,0.2,0.1,480,30,48,10,400,400,5,classical
195,386,0.2,0.1,480,30,48,10,400,400,5,classical
200,370,0.2,0.1,480,30,48,10,400,400,5,classical
205,378,0.2,0.1,480,30,48,10,400,400,5,classical
210,391,0.2,0.1,480,30,48,10,400,400,5,classical
215,382,0.2,0.1,480,30,48,10,400,400,5,classical
220,373,0.2,0.1,480,30,48,10,400,400,5,classical
225,372,0.2,0.1,480,30,48,10,400,400,5,classical
230,369,0.2,0.1,480,30,48,10,400,400,5,classical
235,390,0.2,0.1,480,30,48,10,400,400,5,classical
240,391,0.2,0.1,480,30,48,10,400,400,5,classical
245,388,0.2,0.1,480,30,48,10,400,400,5,classical
250,378,0.2,0.1,480,30,48,10,400,400,5,classical
255,388,0.2,0.1,480,30,48,10,400,400,5,classical
260,383,0.2,0.1,480,30,48,10,400,400,5,classical
265,389,0.2,0.1,480,30,48,10,400,400,5,classical
270,378,0.2,0.1,480,30,48,10,400,400,5,classical
275,378,0.2,0.1,480,30,48,10,400,400,5,classical
280,374,0.2,0.1,480,30,48,10,400,400,5,classical
285,368,0.2,0.1,480,30,48,10,400,400,5,classical
290,361,0.2,0.1,480,30,48,10,400,400,5,classical
295,374,0.2,0.1,480,30,48,10,400,400,5,classical
300,379,0.2,0.1,480,30,48,10,400,400,5,classical
305,378,0.2,0.1,480,30,48,10,400,400,5,classical
310,375,0.2,0.1,480,30,48,10,400,400,5,classical
315,374,0.2,0.1,480,30,48,10,400,400,5,classical
320,396,0.2,0.1,480,30,48,10,400,400,5,classical
325,394,0.2,0.1,480,30,48,10,400,400,5,classical
330,371,0.2,0.1,480,30,48,10,400,400,5,classical
335,381,0.2,0.1,480,30,48,10,400,400,5,classical
340,392,0.2,0.1,480,30,48,10,400,400,5,classical
345,389,0.2,0.1,480,30,48,10,400,400,5,classical
350,390,0.2,0.1,480,30,48,10,400,400,5,classical
355,385,0.2,0.1,480,30,48,10,400,400,5,classical
360,378,0.2,0.1,480,30,48,10,400,400,5,classical
365,378,0.2,0.1,480,30,48,10,400,400,5,classical
370,364,0.2,0.1,480,30,48,10,400,400,5,classical
375,373,0.2,0.1,480,30,48,10,400,400,5,classical
380,390,0.2,0.1,480,30,48,10,400,400,5,classical
385,372,0.2,0.1,480,30,48,10,400,400,5,classical
390,375,0.2,0.1,480,30,48,10,400,400,5,classical
395,377,0.2,0.1,480,30,48,10,400,400,5,classical
400,360,0.2,0.1,480,30,48,10,400,400,5,classical
