Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,57,0.1,0.1,480,30,48,8,576,400,5,classical
10,126,0.1,0.1,480,30,48,8,576,400,5,classical
15,228,0.1,0.1,480,30,48,8,576,400,5,classical
20,288,0.1,0.1,480,30,48,8,576,400,5,classical
25,301,0.1,0.1,480,30,48,8,576,400,5,classical
30,326,0.1,0.1,480,30,48,8,576,400,5,classical
35,323,0.1,0.1,480,30,48,8,576,400,5,classical
40,327,0.1,0.1,480,30,48,8,576,400,5,classical
45,304,0.1,0.1,480,30,48,8,576,400,5,classical
50,316,0.1,0.1,480,30,48,8,576,400,5,classical
55,308,0.1,0.1,480,30,48,8,576,400,5,classical
60,313,0.1,0.1,480,30,48,8,576,400,5,classical
65,318,0.1,0.1,480,30,48,8,576,400,5,classical
70,323,0.1,0.1,480,30,48,8,576,400,5,classical
75,322,0.1,0.1,480,30,48,8,576,400,5,classical
80,298,0.1,0.1,480,30,48,8,576,400,5,classical
85,331,0.1,0.1,480,30,48,8,576,400,5,classical
90,333,0.1,0.1,480,30,48,8,576,400,5,classical
95,312,0.1,0.1,480,30,48,8,576,400,5,classical
100,321,0.1,0.1,480,30,48,8,576,400,5,classical
105,323,0.1,0.1,480,30,48,8,576,400,5,classical
110,319,0.1,0.1,480,30,48,8,576,400,5,classical
115,342,0.1,0.1,480,30,48,8,576,400,5,classical
120,332,0.1,0.1,480,30,48,8,576,400,5,classical
125,335,0.1,0.1,480,30,48,8,576,400,5,classical
130,312,0.1,0.1,480,30,48,8,576,400,5,classical
135,313,0.1,0.1,480,30,48,8,576,400,5,classical
140,327,0.1,0.1,480,30,48,8,576,400,5,classical
145,325,0.1,0.1,480,30,48,8,576,400,5,classical
150,329,0.1,0.1,480,30,48,8,576,400,5,classical
155,332,0.1,0.1,480,30,48,8,576,400,5,classical
160,311,0.1,0.1,480,30,48,8,576,400,5,classical
165,314,0.1,0.1,480,30,48,8,576,400,5,classical
170,310,0.1,0.1,480,30,48,8,576,400,5,classical
175,307,0.1,0.1,480,30,48,8,576,400,5,classical
180,320,0.1,0.1,480,30,48,8,576,400,5,classical
185,299,0.1,0.1,480,30,48,8,576,400,5,classical
190,305,0.1,0.1,480,30,48,8,576,400,5,classical
195,341,0.1,0.1,480,30,48,8,576,400,5,classical
200,326,0.1,0.1,480,30,48,8,576,400,5,classical
205,317,0.1,0.1,480,30,48,8,576,400,5,classical
210,309,0.1,0.1,480,30,48,8,576,400,5,classical
215,313,0.1,0.1,480,30,48,8,576,400,5,classical
220,307,0.1,0.1,480,30,48,8,576,400,5,classical
225,311,0.1,0.1,480,30,48,8,576,400,5,classical
230,313,0.1,0.1,480,30,48,8,576,400,5,classical
235,296,0.1,0.1,480,30,48,8,576,400,5,classical
240,340,0.1,0.1,480,30,48,8,576,400,5,classical
245,305,0.1,0.1,480,30,48,8,576,400,5,classical
250,319,0.1,0.1,480,30,48,8,576,400,5,classical
255,311,0.1,0.1,480,30,48,8,576,400,5,classical
260,333,0.1,0.1,480,30,48,8,576,400,5,classical
265,321,0.1,0.1,480,30,48,8,576,400,5,classical
270,318,0.1,0.1,480,30,48,8,576,400,5,classical
275,332,0.1,0.1,480,30,48,8,576,400,5,classical
280,326,0.1,0.1,480,30,48,8,576,400,5,classical
285,308,0.1,0.1,480,30,48,8,576,400,5,classical
290,317,0.1,0.1,480,30,48,8,576,400,5,classical
295,322,0.1,0.1,480,30,48,8,576,400,5,classical
300,325,0.1,0.1,480,30,48,8,576,400,5,classical
305,323,0.1,0.1,480,30,48,8,576,400,5,classical
310,316,0.1,0.1,480,30,48,8,576,400,5,classical
315,333,0.1,0.1,480,30,48,8,576,400,5,classical
320,318,0.1,0.1,480,30,48,8,576,400,5,classical
325,319,0.1,0.1,480,30,48,8,576,400,5,classical
330,307,0.1,0.1,480,30,48,8,576,400,5,classical
335,309,0.1,0.1,480,30,48,8,576,400,5,classical
340,305,0.1,0.1,480,30,48,8,576,400,5,classical
345,321,0.1,0.1,480,30,48,8,576,400,5,classical
350,300,0.1,0.1,480,30,48,8,576,400,5,classical
355,321,0.1,0.1,480,30,48,8,576,400,5,classical
360,312,0.1,0.1,480,30,48,8,576,400,5,classical
365,323,0.1,0.1,480,30,48,8,576,400,5,classical
370,293,0.1,0.1,480,30,48,8,576,400,5,classical
375,334,0.1,0.1,480,30,48,8,576,400,5,classical
380,326,0.1,0.1,480,30,48,8,576,400,5,classical
385,327,0.1,0.1,480,30,48,8,576,400,5,classical
390,333,0.1,0.1,480,30,48,8,576,400,5,classical
395,339,0.1,0.1,480,30,48,8,576,400,5,classical
400,342,0.1,0.1,480,30,48,8,576,400,5,classical
