Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,109,0.16,0.1,480,30,48,10,400,400,5,classical
10,243,0.16,0.1,480,30,48,10,400,400,5,classical
15,310,0.16,0.1,480,30,48,10,400,400,5,classical
20,336,0.16,0.1,480,30,48,10,400,400,5,classical
25,337,0.16,0.1,480,30,48,10,400,400,5,classical
30,372,0.16,0.1,480,30,48,10,400,400,5,classical
35,364,0.16,0.1,480,30,48,10,400,400,5,classical
40,377,0.16,0.1,480,30,48,10,400,400,5,classical
45,363,0.16,0.1,480,30,48,10,400,400,5,classical
50,368,0.16,0.1,480,30,48,10,400,400,5,classical
55,352,0.16,0.1,480,30,48,10,400,400,5,classical
60,374,0.16,0.1,480,30,48,10,400,400,5,classical
65,369,0.16,0.1,480,30,48,10,400,400,5,classical
70,364,0.16,0.1,480,30,48,10,400,400,5,classical
75,364,0.16,0.1,480,30,48,10,400,400,5,classical
80,367,0.16,0.1,480,30,48,10,400,400,5,classical
85,364,0.16,0.1,480,30,48,10,400,400,5,classical
90,359,0.16,0.1,480,30,48,10,400,400,5,classical
95,352,0.16,0.1,480,30,48,10,400,400,5,classical
100,374,0.16,0.1,480,30,48,10,400,400,5,classical
105,359,0.16,0.1,480,30,48,10,400,400,5,classical
110,377,0.16,0.1,480,30,48,10,400,400,5,classical
115,363,0.16,0.1,480,30,48,10,400,400,5,classical
120,359,0.16,0.1,480,30,48,10,400,400,5,classical
125,361,0.16,0.1,480,30,48,10,400,400,5,classical
130,373,0.16,0.1,480,30,48,10,400,400,5,classical
135,384,0.16,0.1,480,30,48,10,400,400,5,classical
140,353,0.16,0.1,480,30,48,10,400,400,5,classical
145,371,0.16,0.1,480,30,48,10,400,400,5,classical
150,375,0.16,0.1,480,30,48,10,400,400,5,classical
155,379,0.16,0.1,480,30,48,10,400,400,5,classical
160,373,0.16,0.1,480,30,48,10,400,400,5,classical
165,361,0.16,0.1,480,30,48,10,400,400,5,classical
170,359,0.16,0.1,480,30,48,10,400,400,5,classical
175,366,0.16,0.1,480,30,48,10,400,400,5,classical
180,373,0.16,0.1,480,30,48,10,400,400,5,classical
185,376,0.16,0.1,480,30,48,10,400,400,5,classical
190,374,0.16,0.1,480,30,48,10,400,400,5,classical
195,356,0.16,0.1,480,30,48,10,400,400,5,classical
200,371,0.16,0.1,480,30,48,10,400,400,5,classical
205,357,0.16,0.1,480,30,48,10,400,400,5,classical
210,370,0.16,0.1,480,30,48,10,400,400,5,classical
215,358,0.16,0.1,480,30,48,10,400,400,5,classical
220,344,0.16,0.1,480,30,48,10,400,400,5,classical
225,347,0.16,0.1,480,30,48,10,400,400,5,classical
230,342,0.16,0.1,480,30,48,10,400,400,5,classical
235,360,0.16,0.1,480,30,48,10,400,400,5,classical
240,378,0.16,0.1,480,30,48,10,400,400,5,classical
245,359,0.16,0.1,480,30,48,10,400,400,5,classical
250,362,0.16,0.1,480,30,48,10,400,400,5,classical
255,368,0.16,0.1,480,30,48,10,400,400,5,classical
260,354,0.16,0.1,480,30,48,10,400,400,5,classical
265,347,0.16,0.1,480,30,48,10,400,400,5,classical
270,369,0.16,0.1,480,30,48,10,400,400,5,classical
275,368,0.16,0.1,480,30,48,10,400,400,5,classical
280,371,0.16,0.1,480,30,48,10,400,400,5,classical
285,366,0.16,0.1,480,30,48,10,400,400,5,classical
290,350,0.16,0.1,480,30,48,10,400,400,5,classical
295,370,0.16,0.1,480,30,48,10,400,400,5,classical
300,353,0.16,0.1,480,30,48,10,400,400,5,classical
305,377,0.16,0.1,480,30,48,10,400,400,5,classical
310,372,0.16,0.1,480,30,48,10,400,400,5,classical
315,355,0.16,0.1,480,30,48,10,400,400,5,classical
320,360,0.16,0.1,480,30,48,10,400,400,5,classical
325,352,0.16,0.1,480,30,48,10,400,400,5,classical
330,360,0.16,0.1,480,30,48,10,400,400,5,classical
335,374,0.16,0.1,480,30,48,10,400,400,5,classical
340,367,0.16,0.1,480,30,48,10,400,400,5,classical
345,363,0.16,0.1,480,30,48,10,400,400,5,classical
350,363,0.16,0.1,480,30,48,10,400,400,5,classical
355,372,0.16,0.1,480,30,48,10,400,400,5,classical
360,355,0.16,0.1,480,30,48,10,400,400,5,classical
365,357,0.16,0.1,480,30,48,10,400,400,5,classical
370,363,0.16,0.1,480,30,48,10,400,400,5,classical
375,348,0.16,0.1,480,30,48,10,400,400,5,classical
380,349,0.16,0.1,480,30,48,10,400,400,5,classical
385,368,0.16,0.1,480,30,48,10,400,400,5,classical
390,364,0.16,0.1,480,30,48,10,400,400,5,classical
395,380,0.16,0.1,480,30,48,10,400,400,5,classical
400,370,0.16,0.1,480,30,48,10,400,400,5,classical
