Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,41,0.1,0.1,250,30,25,10,100,200,5,quantum
10,49,0.1,0.1,250,30,25,10,100,200,5,quantum
15,58,0.1,0.1,250,30,25,10,100,200,5,quantum
20,62,0.1,0.1,250,30,25,10,100,200,5,quantum
25,65,0.1,0.1,250,30,25,10,100,200,5,quantum
30,65,0.1,0.1,250,30,25,10,100,200,5,quantum
35,70,0.1,0.1,250,30,25,10,100,200,5,quantum
40,72,0.1,0.1,250,30,25,10,100,200,5,quantum
45,71,0.1,0.1,250,30,25,10,100,200,5,quantum
50,71,0.1,0.1,250,30,25,10,100,200,5,quantum
55,74,0.1,0.1,250,30,25,10,100,200,5,quantum
60,74,0.1,0.1,250,30,25,10,100,200,5,quantum
65,83,0.1,0.1,250,30,25,10,100,200,5,quantum
70,87,0.1,0.1,250,30,25,10,100,200,5,quantum
75,90,0.1,0.1,250,30,25,10,100,200,5,quantum
80,90,0.1,0.1,250,30,25,10,100,200,5,quantum
85,91,0.1,0.1,250,30,25,10,100,200,5,quantum
90,90,0.1,0.1,250,30,25,10,100,200,5,quantum
95,94,0.1,0.1,250,30,25,10,100,200,5,quantum
100,94,0.1,0.1,250,30,25,10,100,200,5,quantum
105,98,0.1,0.1,250,30,25,10,100,200,5,quantum
110,97,0.1,0.1,250,30,25,10,100,200,5,quantum
115,97,0.1,0.1,250,30,25,10,100,200,5,quantum
120,91,0.1,0.1,250,30,25,10,100,200,5,quantum
125,102,0.1,0.1,250,30,25,10,100,200,5,quantum
130,102,0.1,0.1,250,30,25,10,100,200,5,quantum
135,102,0.1,0.1,250,30,25,10,100,200,5,quantum
140,98,0.1,0.1,250,30,25,10,100,200,5,quantum
145,104,0.1,0.1,250,30,25,10,100,200,5,quantum
150,105,0.1,0.1,250,30,25,10,100,200,5,quantum
155,105,0.1,0.1,250,30,25,10,100,200,5,quantum
160,109,0.1,0.1,250,30,25,10,100,200,5,quantum
165,108,0.1,0.1,250,30,25,10,100,200,5,quantum
170,111,0.1,0.1,250,30,25,10,100,200,5,quantum
175,113,0.1,0.1,250,30,25,10,100,200,5,quantum
180,109,0.1,0.1,250,30,25,10,100,200,5,quantum
185,112,0.1,0.1,250,30,25,10,100,200,5,quantum
190,114,0.1,0.1,250,30,25,10,100,200,5,quantum
195,112,0.1,0.1,250,30,25,10,100,200,5,quantum
200,114,0.1,0.1,250,30,25,10,100,200,5,quantum
