Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,63,0.07,0.1,480,30,48,10,400,400,5,classical
10,76,0.07,0.1,480,30,48,10,400,400,5,classical
15,84,0.07,0.1,480,30,48,10,400,400,5,classical
20,114,0.07,0.1,480,30,48,10,400,400,5,classical
25,152,0.07,0.1,480,30,48,10,400,400,5,classical
30,168,0.07,0.1,480,30,48,10,400,400,5,classical
35,202,0.07,0.1,480,30,48,10,400,400,5,classical
40,220,0.07,0.1,480,30,48,10,400,400,5,classical
45,244,0.07,0.1,480,30,48,10,400,400,5,classical
50,246,0.07,0.1,480,30,48,10,400,400,5,classical
55,256,0.07,0.1,480,30,48,10,400,400,5,classical
60,240,0.07,0.1,480,30,48,10,400,400,5,classical
65,245,0.07,0.1,480,30,48,10,400,400,5,classical
70,269,0.07,0.1,480,30,48,10,400,400,5,classical
75,259,0.07,0.1,480,30,48,10,400,400,5,classical
80,227,0.07,0.1,480,30,48,10,400,400,5,classical
85,220,0.07,0.1,480,30,48,10,400,400,5,classical
90,237,0.07,0.1,480,30,48,10,400,400,5,classical
95,238,0.07,0.1,480,30,48,10,400,400,5,classical
100,259,0.07,0.1,480,30,48,10,400,400,5,classical
105,260,0.07,0.1,480,30,48,10,400,400,5,classical
110,249,0.07,0.1,480,30,48,10,400,400,5,classical
115,240,0.07,0.1,480,30,48,10,400,400,5,classical
120,254,0.07,0.1,480,30,48,10,400,400,5,classical
125,260,0.07,0.1,480,30,48,10,400,400,5,classical
130,276,0.07,0.1,480,30,48,10,400,400,5,classical
135,246,0.07,0.1,480,30,48,10,400,400,5,classical
140,251,0.07,0.1,480,30,48,10,400,400,5,classical
145,241,0.07,0.1,480,30,48,10,400,400,5,classical
150,272,0.07,0.1,480,30,48,10,400,400,5,classical
155,248,0.07,0.1,480,30,48,10,400,400,5,classical
160,221,0.07,0.1,480,30,48,10,400,400,5,classical
165,243,0.07,0.1,480,30,48,10,400,400,5,classical
170,258,0.07,0.1,480,30,48,10,400,400,5,classical
175,232,0.07,0.1,480,30,48,10,400,400,5,classical
180,244,0.07,0.1,480,30,48,10,400,400,5,classical
185,248,0.07,0.1,480,30,48,10,400,400,5,classical
190,273,0.07,0.1,480,30,48,10,400,400,5,classical
195,280,0.07,0.1,480,30,48,10,400,400,5,classical
200,264,0.07,0.1,480,30,48,10,400,400,5,classical
205,256,0.07,0.1,480,30,48,10,400,400,5,classical
210,247,0.07,0.1,480,30,48,10,400,400,5,classical
215,238,0.07,0.1,480,30,48,10,400,400,5,classical
220,257,0.07,0.1,480,30,48,10,400,400,5,classical
225,239,0.07,0.1,480,30,48,10,400,400,5,classical
230,239,0.07,0.1,480,30,48,10,400,400,5,classical
235,243,0.07,0.1,480,30,48,10,400,400,5,classical
240,239,0.07,0.1,480,30,48,10,400,400,5,classical
245,246,0.07,0.1,480,30,48,10,400,400,5,classical
250,249,0.07,0.1,480,30,48,10,400,400,5,classical
255,247,0.07,0.1,480,30,48,10,400,400,5,classical
260,252,0.07,0.1,480,30,48,10,400,400,5,classical
265,238,0.07,0.1,480,30,48,10,400,400,5,classical
270,233,0.07,0.1,480,30,48,10,400,400,5,classical
275,233,0.07,0.1,480,30,48,10,400,400,5,classical
280,242,0.07,0.1,480,30,48,10,400,400,5,classical
285,232,0.07,0.1,480,30,48,10,400,400,5,classical
290,240,0.07,0.1,480,30,48,10,400,400,5,classical
295,255,0.07,0.1,480,30,48,10,400,400,5,classical
300,244,0.07,0.1,480,30,48,10,400,400,5,classical
305,239,0.07,0.1,480,30,48,10,400,400,5,classical
310,237,0.07,0.1,480,30,48,10,400,400,5,classical
315,232,0.07,0.1,480,30,48,10,400,400,5,classical
320,242,0.07,0.1,480,30,48,10,400,400,5,classical
325,231,0.07,0.1,480,30,48,10,400,400,5,classical
330,249,0.07,0.1,480,30,48,10,400,400,5,classical
335,251,0.07,0.1,480,30,48,10,400,400,5,classical
340,259,0.07,0.1,480,30,48,10,400,400,5,classical
345,257,0.07,0.1,480,30,48,10,400,400,5,classical
350,257,0.07,0.1,480,30,48,10,400,400,5,classical
355,249,0.07,0.1,480,30,48,10,400,400,5,classical
360,245,0.07,0.1,480,30,48,10,400,400,5,classical
365,235,0.07,0.1,480,30,48,10,400,400,5,classical
370,233,0.07,0.1,480,30,48,10,400,400,5,classical
375,243,0.07,0.1,480,30,48,10,400,400,5,classical
380,264,0.07,0.1,480,30,48,10,400,400,5,classical
385,253,0.07,0.1,480,30,48,10,400,400,5,classical
390,241,0.07,0.1,480,30,48,10,400,400,5,classical
395,252,0.07,0.1,480,30,48,10,400,400,5,classical
400,243,0.07,0.1,480,30,48,10,400,400,5,classical
