Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,79,0.1,0.1,480,30,48,10,400,400,5,classical
10,141,0.1,0.1,480,30,48,10,400,400,5,classical
15,192,0.1,0.1,480,30,48,10,400,400,5,classical
20,244,0.1,0.1,480,30,48,10,400,400,5,classical
25,268,0.1,0.1,480,30,48,10,400,400,5,classical
30,308,0.1,0.1,480,30,48,10,400,400,5,classical
35,298,0.1,0.1,480,30,48,10,400,400,5,classical
40,310,0.1,0.1,480,30,48,10,400,400,5,classical
45,321,0.1,0.1,480,30,48,10,400,400,5,classical
50,316,0.1,0.1,480,30,48,10,400,400,5,classical
55,323,0.1,0.1,480,30,48,10,400,400,5,classical
60,316,0.1,0.1,480,30,48,10,400,400,5,classical
65,300,0.1,0.1,480,30,48,10,400,400,5,classical
70,308,0.1,0.1,480,30,48,10,400,400,5,classical
75,323,0.1,0.1,480,30,48,10,400,400,5,classical
80,311,0.1,0.1,480,30,48,10,400,400,5,classical
85,299,0.1,0.1,480,30,48,10,400,400,5,classical
90,312,0.1,0.1,480,30,48,10,400,400,5,classical
95,321,0.1,0.1,480,30,48,10,400,400,5,classical
100,316,0.1,0.1,480,30,48,10,400,400,5,classical
105,314,0.1,0.1,480,30,48,10,400,400,5,classical
110,294,0.1,0.1,480,30,48,10,400,400,5,classical
115,308,0.1,0.1,480,30,48,10,400,400,5,classical
120,321,0.1,0.1,480,30,48,10,400,400,5,classical
125,300,0.1,0.1,480,30,48,10,400,400,5,classical
130,299,0.1,0.1,480,30,48,10,400,400,5,classical
135,300,0.1,0.1,480,30,48,10,400,400,5,classical
140,302,0.1,0.1,480,30,48,10,400,400,5,classical
145,294,0.1,0.1,480,30,48,10,400,400,5,classical
150,294,0.1,0.1,480,30,48,10,400,400,5,classical
155,296,0.1,0.1,480,30,48,10,400,400,5,classical
160,305,0.1,0.1,480,30,48,10,400,400,5,classical
165,299,0.1,0.1,480,30,48,10,400,400,5,classical
170,293,0.1,0.1,480,30,48,10,400,400,5,classical
175,313,0.1,0.1,480,30,48,10,400,400,5,classical
180,310,0.1,0.1,480,30,48,10,400,400,5,classical
185,299,0.1,0.1,480,30,48,10,400,400,5,classical
190,310,0.1,0.1,480,30,48,10,400,400,5,classical
195,303,0.1,0.1,480,30,48,10,400,400,5,classical
200,304,0.1,0.1,480,30,48,10,400,400,5,classical
205,301,0.1,0.1,480,30,48,10,400,400,5,classical
210,305,0.1,0.1,480,30,48,10,400,400,5,classical
215,307,0.1,0.1,480,30,48,10,400,400,5,classical
220,290,0.1,0.1,480,30,48,10,400,400,5,classical
225,281,0.1,0.1,480,30,48,10,400,400,5,classical
230,306,0.1,0.1,480,30,48,10,400,400,5,classical
235,307,0.1,0.1,480,30,48,10,400,400,5,classical
240,294,0.1,0.1,480,30,48,10,400,400,5,classical
245,287,0.1,0.1,480,30,48,10,400,400,5,classical
250,299,0.1,0.1,480,30,48,10,400,400,5,classical
255,326,0.1,0.1,480,30,48,10,400,400,5,classical
260,307,0.1,0.1,480,30,48,10,400,400,5,classical
265,311,0.1,0.1,480,30,48,10,400,400,5,classical
270,308,0.1,0.1,480,30,48,10,400,400,5,classical
275,317,0.1,0.1,480,30,48,10,400,400,5,classical
280,328,0.1,0.1,480,30,48,10,400,400,5,classical
285,313,0.1,0.1,480,30,48,10,400,400,5,classical
290,322,0.1,0.1,480,30,48,10,400,400,5,classical
295,315,0.1,0.1,480,30,48,10,400,400,5,classical
300,307,0.1,0.1,480,30,48,10,400,400,5,classical
305,312,0.1,0.1,480,30,48,10,400,400,5,classical
310,303,0.1,0.1,480,30,48,10,400,400,5,classical
315,306,0.1,0.1,480,30,48,10,400,400,5,classical
320,316,0.1,0.1,480,30,48,10,400,400,5,classical
325,302,0.1,0.1,480,30,48,10,400,400,5,classical
330,318,0.1,0.1,480,30,48,10,400,400,5,classical
335,307,0.1,0.1,480,30,48,10,400,400,5,classical
340,302,0.1,0.1,480,30,48,10,400,400,5,classical
345,298,0.1,0.1,480,30,48,10,400,400,5,classical
350,300,0.1,0.1,480,30,48,10,400,400,5,classical
355,290,0.1,0.1,480,30,48,10,400,400,5,classical
360,303,0.1,0.1,480,30,48,10,400,400,5,classical
365,323,0.1,0.1,480,30,48,10,400,400,5,classical
370,295,0.1,0.1,480,30,48,10,400,400,5,classical
375,328,0.1,0.1,480,30,48,10,400,400,5,classical
380,306,0.1,0.1,480,30,48,10,400,400,5,classical
385,314,0.1,0.1,480,30,48,10,400,400,5,classical
390,324,0.1,0.1,480,30,48,10,400,400,5,classical
395,322,0.1,0.1,480,30,48,10,400,400,5,classical
400,334,0.1,0.1,480,30,48,10,400,400,5,classical
