Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,252,0.1,0.1,480,30,48,40,400,400,5,classical
10,382,0.1,0.1,480,30,48,40,400,400,5,classical
15,406,0.1,0.1,480,30,48,40,400,400,5,classical
20,414,0.1,0.1,480,30,48,40,400,400,5,classical
25,411,0.1,0.1,480,30,48,40,400,400,5,classical
30,397,0.1,0.1,480,30,48,40,400,400,5,classical
35,412,0.1,0.1,480,30,48,40,400,400,5,classical
40,401,0.1,0.1,480,30,48,40,400,400,5,classical
45,381,0.1,0.1,480,30,48,40,400,400,5,classical
50,410,0.1,0.1,480,30,48,40,400,400,5,classical
55,398,0.1,0.1,480,30,48,40,400,400,5,classical
60,406,0.1,0.1,480,30,48,40,400,400,5,classical
65,398,0.1,0.1,480,30,48,40,400,400,5,classical
70,419,0.1,0.1,480,30,48,40,400,400,5,classical
75,411,0.1,0.1,480,30,48,40,400,400,5,classical
80,410,0.1,0.1,480,30,48,40,400,400,5,classical
85,414,0.1,0.1,480,30,48,40,400,400,5,classical
90,399,0.1,0.1,480,30,48,40,400,400,5,classical
95,400,0.1,0.1,480,30,48,40,400,400,5,classical
100,404,0.1,0.1,480,30,48,40,400,400,5,classical
105,415,0.1,0.1,480,30,48,40,400,400,5,classical
110,399,0.1,0.1,480,30,48,40,400,400,5,classical
115,402,0.1,0.1,480,30,48,40,400,400,5,classical
120,426,0.1,0.1,480,30,48,40,400,400,5,classical
125,402,0.1,0.1,480,30,48,40,400,400,5,classical
130,407,0.1,0.1,480,30,48,40,400,400,5,classical
135,405,0.1,0.1,480,30,48,40,400,400,5,classical
140,406,0.1,0.1,480,30,48,40,400,400,5,classical
145,412,0.1,0.1,480,30,48,40,400,400,5,classical
150,403,0.1,0.1,480,30,48,40,400,400,5,classical
155,412,0.1,0.1,480,30,48,40,400,400,5,classical
160,412,0.1,0.1,480,30,48,40,400,400,5,classical
165,395,0.1,0.1,480,30,48,40,400,400,5,classical
170,421,0.1,0.1,480,30,48,40,400,400,5,classical
175,400,0.1,0.1,480,30,48,40,400,400,5,classical
180,410,0.1,0.1,480,30,48,40,400,400,5,classical
185,410,0.1,0.1,480,30,48,40,400,400,5,classical
190,396,0.1,0.1,480,30,48,40,400,400,5,classical
195,410,0.1,0.1,480,30,48,40,400,400,5,classical
200,413,0.1,0.1,480,30,48,40,400,400,5,classical
205,402,0.1,0.1,480,30,48,40,400,400,5,classical
210,406,0.1,0.1,480,30,48,40,400,400,5,classical
215,408,0.1,0.1,480,30,48,40,400,400,5,classical
220,413,0.1,0.1,480,30,48,40,400,400,5,classical
225,402,0.1,0.1,480,30,48,40,400,400,5,classical
230,400,0.1,0.1,480,30,48,40,400,400,5,classical
235,404,0.1,0.1,480,30,48,40,400,400,5,classical
240,400,0.1,0.1,480,30,48,40,400,400,5,classical
245,408,0.1,0.1,480,30,48,40,400,400,5,classical
250,412,0.1,0.1,480,30,48,40,400,400,5,classical
255,405,0.1,0.1,480,30,48,40,400,400,5,classical
260,408,0.1,0.1,480,30,48,40,400,400,5,classical
265,406,0.1,0.1,480,30,48,40,400,400,5,classical
270,407,0.1,0.1,480,30,48,40,400,400,5,classical
275,406,0.1,0.1,480,30,48,40,400,400,5,classical
280,404,0.1,0.1,480,30,48,40,400,400,5,classical
285,408,0.1,0.1,480,30,48,40,400,400,5,classical
290,414,0.1,0.1,480,30,48,40,400,400,5,classical
295,388,0.1,0.1,480,30,48,40,400,400,5,classical
300,402,0.1,0.1,480,30,48,40,400,400,5,classical
305,405,0.1,0.1,480,30,48,40,400,400,5,classical
310,408,0.1,0.1,480,30,48,40,400,400,5,classical
315,405,0.1,0.1,480,30,48,40,400,400,5,classical
320,395,0.1,0.1,480,30,48,40,400,400,5,classical
325,402,0.1,0.1,480,30,48,40,400,400,5,classical
330,390,0.1,0.1,480,30,48,40,400,400,5,classical
335,401,0.1,0.1,480,30,48,40,400,400,5,classical
340,422,0.1,0.1,480,30,48,40,400,400,5,classical
345,413,0.1,0.1,480,30,48,40,400,400,5,classical
350,406,0.1,0.1,480,30,48,40,400,400,5,classical
355,395,0.1,0.1,480,30,48,40,400,400,5,classical
360,416,0.1,0.1,480,30,48,40,400,400,5,classical
365,410,0.1,0.1,480,30,48,40,400,400,5,classical
370,423,0.1,0.1,480,30,48,40,400,400,5,classical
375,404,0.1,0.1,480,30,48,40,400,400,5,classical
380,413,0.1,0.1,480,30,48,40,400,400,5,classical
385,411,0.1,0.1,480,30,48,40,400,400,5,classical
390,402,0.1,0.1,480,30,48,40,400,400,5,classical
395,411,0.1,0.1,480,30,48,40,400,400,5,classical
400,407,0.1,0.1,480,30,48,40,400,400,5,classical
