Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,65,0.09,0.1,480,30,48,10,400,400,5,classical
10,102,0.09,0.1,480,30,48,10,400,400,5,classical
15,148,0.09,0.1,480,30,48,10,400,400,5,classical
20,204,0.09,0.1,480,30,48,10,400,400,5,classical
25,220,0.09,0.1,480,30,48,10,400,400,5,classical
30,264,0.09,0.1,480,30,48,10,400,400,5,classical
35,285,0.09,0.1,480,30,48,10,400,400,5,classical
40,279,0.09,0.1,480,30,48,10,400,400,5,classical
45,272,0.09,0.1,480,30,48,10,400,400,5,classical
50,280,0.09,0.1,480,30,48,10,400,400,5,classical
55,283,0.09,0.1,480,30,48,10,400,400,5,classical
60,276,0.09,0.1,480,30,48,10,400,400,5,classical
65,294,0.09,0.1,480,30,48,10,400,400,5,classical
70,296,0.09,0.1,480,30,48,10,400,400,5,classical
75,282,0.09,0.1,480,30,48,10,400,400,5,classical
80,297,0.09,0.1,480,30,48,10,400,400,5,classical
85,278,0.09,0.1,480,30,48,10,400,400,5,classical
90,304,0.09,0.1,480,30,48,10,400,400,5,classical
95,302,0.09,0.1,480,30,48,10,400,400,5,classical
100,316,0.09,0.1,480,30,48,10,400,400,5,classical
105,294,0.09,0.1,480,30,48,10,400,400,5,classical
110,293,0.09,0.1,480,30,48,10,400,400,5,classical
115,293,0.09,0.1,480,30,48,10,400,400,5,classical
120,320,0.09,0.1,480,30,48,10,400,400,5,classical
125,294,0.09,0.1,480,30,48,10,400,400,5,classical
130,281,0.09,0.1,480,30,48,10,400,400,5,classical
135,283,0.09,0.1,480,30,48,10,400,400,5,classical
140,302,0.09,0.1,480,30,48,10,400,400,5,classical
145,284,0.09,0.1,480,30,48,10,400,400,5,classical
150,279,0.09,0.1,480,30,48,10,400,400,5,classical
155,295,0.09,0.1,480,30,48,10,400,400,5,classical
160,282,0.09,0.1,480,30,48,10,400,400,5,classical
165,296,0.09,0.1,480,30,48,10,400,400,5,classical
170,289,0.09,0.1,480,30,48,10,400,400,5,classical
175,290,0.09,0.1,480,30,48,10,400,400,5,classical
180,288,0.09,0.1,480,30,48,10,400,400,5,classical
185,283,0.09,0.1,480,30,48,10,400,400,5,classical
190,262,0.09,0.1,480,30,48,10,400,400,5,classical
195,280,0.09,0.1,480,30,48,10,400,400,5,classical
200,299,0.09,0.1,480,30,48,10,400,400,5,classical
205,300,0.09,0.1,480,30,48,10,400,400,5,classical
210,276,0.09,0.1,480,30,48,10,400,400,5,classical
215,315,0.09,0.1,480,30,48,10,400,400,5,classical
220,312,0.09,0.1,480,30,48,10,400,400,5,classical
225,300,0.09,0.1,480,30,48,10,400,400,5,classical
230,275,0.09,0.1,480,30,48,10,400,400,5,classical
235,298,0.09,0.1,480,30,48,10,400,400,5,classical
240,298,0.09,0.1,480,30,48,10,400,400,5,classical
245,308,0.09,0.1,480,30,48,10,400,400,5,classical
250,310,0.09,0.1,480,30,48,10,400,400,5,classical
255,285,0.09,0.1,480,30,48,10,400,400,5,classical
260,274,0.09,0.1,480,30,48,10,400,400,5,classical
265,287,0.09,0.1,480,30,48,10,400,400,5,classical
270,282,0.09,0.1,480,30,48,10,400,400,5,classical
275,271,0.09,0.1,480,30,48,10,400,400,5,classical
280,286,0.09,0.1,480,30,48,10,400,400,5,classical
285,286,0.09,0.1,480,30,48,10,400,400,5,classical
290,297,0.09,0.1,480,30,48,10,400,400,5,classical
295,311,0.09,0.1,480,30,48,10,400,400,5,classical
300,291,0.09,0.1,480,30,48,10,400,400,5,classical
305,298,0.09,0.1,480,30,48,10,400,400,5,classical
310,302,0.09,0.1,480,30,48,10,400,400,5,classical
315,290,0.09,0.1,480,30,48,10,400,400,5,classical
320,321,0.09,0.1,480,30,48,10,400,400,5,classical
325,287,0.09,0.1,480,30,48,10,400,400,5,classical
330,294,0.09,0.1,480,30,48,10,400,400,5,classical
335,276,0.09,0.1,480,30,48,10,400,400,5,classical
340,300,0.09,0.1,480,30,48,10,400,400,5,classical
345,326,0.09,0.1,480,30,48,10,400,400,5,classical
350,312,0.09,0.1,480,30,48,10,400,400,5,classical
355,300,0.09,0.1,480,30,48,10,400,400,5,classical
360,317,0.09,0.1,480,30,48,10,400,400,5,classical
365,305,0.09,0.1,480,30,48,10,400,400,5,classical
370,292,0.09,0.1,480,30,48,10,400,400,5,classical
375,286,0.09,0.1,480,30,48,10,400,400,5,classical
380,315,0.09,0.1,480,30,48,10,400,400,5,classical
385,299,0.09,0.1,480,30,48,10,400,400,5,classical
390,292,0.09,0.1,480,30,48,10,400,400,5,classical
395,304,0.09,0.1,480,30,48,10,400,400,5,classical
400,302,0.09,0.1,480,30,48,10,400,400,5,classical
