Step,Infected Count,Infection Rate,Recovery Rate,Total People,Initial Infected,Num Clusters,Intra-cluster Connections,Inter-cluster Connections,Total Steps,Measure Interval,Method
5,105,0.14,0.1,480,30,48,10,400,400,5,classical
10,226,0.14,0.1,480,30,48,10,400,400,5,classical
15,288,0.14,0.1,480,30,48,10,400,400,5,classical
20,346,0.14,0.1,480,30,48,10,400,400,5,classical
25,333,0.14,0.1,480,30,48,10,400,400,5,classical
30,359,0.14,0.1,480,30,48,10,400,400,5,classical
35,362,0.14,0.1,480,30,48,10,400,400,5,classical
40,345,0.14,0.1,480,30,48,10,400,400,5,classical
45,340,0.14,0.1,480,30,48,10,400,400,5,classical
50,340,0.14,0.1,480,30,48,10,400,400,5,classical
55,351,0.14,0.1,480,30,48,10,400,400,5,classical
60,328,0.14,0.1,480,30,48,10,400,400,5,classical
65,336,0.14,0.1,480,30,48,10,400,400,5,classical
70,359,0.14,0.1,480,30,48,10,400,400,5,classical
75,340,0.14,0.1,480,30,48,10,400,400,5,classical
80,348,0.14,0.1,480,30,48,10,400,400,5,classical
85,352,0.14,0.1,480,30,48,10,400,400,5,classical
90,347,0.14,0.1,480,30,48,10,400,400,5,classical
95,363,0.14,0.1,480,30,48,10,400,400,5,classical
100,363,0.14,0.1,480,30,48,10,400,400,5,classical
105,339,0.14,0.1,480,30,48,10,400,400,5,classical
110,346,0.14,0.1,480,30,48,10,400,400,5,classical
115,339,0.14,0.1,480,30,48,10,400,400,5,classical
120,352,0.14,0.1,480,30,48,10,400,400,5,classical
125,350,0.14,0.1,480,30,48,10,400,400,5,classical
130,356,0.14,0.1,480,30,48,10,400,400,5,classical
135,350,0.14,0.1,480,30,48,10,400,400,5,classical
140,351,0.14,0.1,480,30,48,10,400,400,5,classical
145,352,0.14,0.1,480,30,48,10,400,400,5,classical
150,356,0.14,0.1,480,30,48,10,400,400,5,classical
155,349,0.14,0.1,480,30,48,10,400,400,5,classical
160,368,0.14,0.1,480,30,48,10,400,400,5,classical
165,342,0.14,0.1,480,30,48,10,400,400,5,classical
170,341,0.14,0.1,480,30,48,10,400,400,5,classical
175,338,0.14,0.1,480,30,48,10,400,400,5,classical
180,341,0.14,0.1,480,30,48,10,400,400,5,classical
185,360,0.14,0.1,480,30,48,10,400,400,5,classical
190,353,0.14,0.1,480,30,48,10,400,400,5,classical
195,350,0.14,0.1,480,30,48,10,400,400,5,classical
200,369,0.14,0.1,480,30,48,10,400,400,5,classical
205,340,0.14,0.1,480,30,48,10,400,400,5,classical
210,350,0.14,0.1,480,30,48,10,400,400,5,classical
215,359,0.14,0.1,480,30,48,10,400,400,5,classical
220,354,0.14,0.1,480,30,48,10,400,400,5,classical
225,353,0.14,0.1,480,30,48,10,400,400,5,classical
230,348,0.14,0.1,480,30,48,10,400,400,5,classical
235,347,0.14,0.1,480,30,48,10,400,400,5,classical
240,356,0.14,0.1,480,30,48,10,400,400,5,classical
245,355,0.14,0.1,480,30,48,10,400,400,5,classical
250,359,0.14,0.1,480,30,48,10,400,400,5,classical
255,355,0.14,0.1,480,30,48,10,400,400,5,classical
260,354,0.14,0.1,480,30,48,10,400,400,5,classical
265,366,0.14,0.1,480,30,48,10,400,400,5,classical
270,356,0.14,0.1,480,30,48,10,400,400,5,classical
275,356,0.14,0.1,480,30,48,10,400,400,5,classical
280,350,0.14,0.1,480,30,48,10,400,400,5,classical
285,329,0.14,0.1,480,30,48,10,400,400,5,classical
290,334,0.14,0.1,480,30,48,10,400,400,5,classical
295,355,0.14,0.1,480,30,48,10,400,400,5,classical
300,336,0.14,0.1,480,30,48,10,400,400,5,classical
305,345,0.14,0.1,480,30,48,10,400,400,5,classical
310,359,0.14,0.1,480,30,48,10,400,400,5,classical
315,355,0.14,0.1,480,30,48,10,400,400,5,classical
320,344,0.14,0.1,480,30,48,10,400,400,5,classical
325,354,0.14,0.1,480,30,48,10,400,400,5,classical
330,340,0.14,0.1,480,30,48,10,400,400,5,classical
335,344,0.14,0.1,480,30,48,10,400,400,5,classical
340,351,0.14,0.1,480,30,48,10,400,400,5,classical
345,361,0.14,0.1,480,30,48,10,400,400,5,classical
350,363,0.14,0.1,480,30,48,10,400,400,5,classical
355,346,0.14,0.1,480,30,48,10,400,400,5,classical
360,346,0.14,0.1,480,30,48,10,400,400,5,classical
365,363,0.14,0.1,480,30,48,10,400,400,5,classical
370,348,0.14,0.1,480,30,48,10,400,400,5,classical
375,355,0.14,0.1,480,30,48,10,400,400,5,classical
380,341,0.14,0.1,480,30,48,10,400,400,5,classical
385,350,0.14,0.1,480,30,48,10,400,400,5,classical
390,342,0.14,0.1,480,30,48,10,400,400,5,classical
395,345,0.14,0.1,480,30,48,10,400,400,5,classical
400,332,0.14,0.1,480,30,48,10,400,400,5,classical
